feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean
alpha,34788,31852,32822,34479,33176,33423.4
delta,34495,30180,32865,33365,32397,32660.4
redshift,29180,26683,27735,28881,27918,28079.4
i_z,25854,22813,24569,25424,24750,24682.0
r_i,23140,20537,20695,22237,22026,21727.0
g_i,21544,19160,20401,21499,20108,20542.4
u_g,21032,19113,19540,20738,20176,20119.8
g_r,20106,17851,19031,19584,19197,19153.8
z,19732,17903,18837,19894,19155,19104.2
u_r,20311,17679,18076,19584,18770,18884.0
u,19260,16712,17852,18508,18164,18099.2
g,18199,15856,16369,17410,16591,16885.0
r,17191,15083,15681,16792,16247,16198.8
i,15781,14023,14713,14885,14605,14801.4
spectral_type,112,138,176,170,132,145.6
galaxy_population,125,113,98,146,140,124.4
