feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean
alpha,19331,20054,19773,17880,20063,19420.2
delta,19141,19414,19566,17121,19409,18930.2
r_i,8009,8241,7987,6882,7983,7820.4
i_z,7692,7876,8109,6935,8117,7745.8
u_g,7567,8142,7887,6796,8094,7697.2
g_i,7782,7886,7897,7037,7745,7669.4
r_z,7500,7982,8004,6548,7702,7547.2
g_r,7637,7555,7829,6562,7573,7431.2
g,7036,7308,7261,6260,7029,6978.8
g_z,6945,6948,7407,6458,6929,6937.4
redshift,6338,6277,7683,7204,6364,6773.2
r,7098,6905,6869,5955,6797,6724.8
u_r,6444,6886,6290,5828,6837,6457.0
redshift_x_i_z,6521,6612,6745,5819,6478,6435.0
redshift_x_u_g,6476,6513,6822,5741,6568,6424.0
redshift_x_r_i,6398,6636,6609,5646,6445,6346.8
redshift_x_g_r,6420,6376,6563,5791,6483,6326.6
i,6186,6384,6495,5596,6136,6159.4
u_i,5509,5737,5709,4917,5846,5543.6
mag_mean,5535,5672,5867,4878,5759,5542.2
redshift_x_r_z,5358,5683,5901,5026,5405,5474.6
u,5246,5305,5687,4773,5585,5319.2
z,5159,5494,5442,4768,5581,5288.8
redshift_x_g_z,5294,5548,5582,4455,5244,5224.6
redshift_x_u_z,5116,5350,5371,4602,5353,5158.4
mag_std,4806,5023,5073,4362,5192,4891.2
mag_min,4760,4882,4936,4263,4930,4754.2
u_z,4297,4416,4647,3929,4504,4358.6
mag_max,4274,4229,4544,3971,4337,4271.0
redshift_abs,4874,4887,3168,2446,4825,4040.0
mag_range,4083,4123,4348,3637,3988,4035.8
redshift_sq,593,712,397,376,695,554.6
redshift_signed_log1p,632,572,253,165,530,430.4
spectral_type,49,57,83,55,48,58.4
galaxy_population,15,20,21,10,16,16.4
redshift_is_negative,11,7,3,4,6,6.2
